,Junction,Vehicles,Year,Month,Day,DayOfWeek,Hour,Minute,Vehicles_Lag1,Vehicles_Lag3,Vehicles_Mean,Vehicles_Std
0,1,15,2015,11,1,6,0,0,0.0,0.0,0.0,0.0
1,1,13,2015,11,1,6,1,0,15.0,0.0,0.0,0.0
2,1,10,2015,11,1,6,2,0,13.0,0.0,12.666666666666666,2.516611478423583
3,1,7,2015,11,1,6,3,0,10.0,15.0,10.0,2.9999999999999996
4,1,9,2015,11,1,6,4,0,7.0,13.0,8.666666666666666,1.527525231651946
5,1,6,2015,11,1,6,5,0,9.0,10.0,7.333333333333333,1.5275252316519454
6,1,9,2015,11,1,6,6,0,6.0,7.0,8.0,1.7320508075688763
7,1,8,2015,11,1,6,7,0,9.0,9.0,7.666666666666667,1.5275252316519454
8,1,11,2015,11,1,6,8,0,8.0,6.0,9.333333333333334,1.527525231651945
9,1,12,2015,11,1,6,9,0,11.0,9.0,10.333333333333334,2.0816659994661313
10,1,15,2015,11,1,6,10,0,12.0,8.0,12.666666666666666,2.0816659994661313
11,1,17,2015,11,1,6,11,0,15.0,11.0,14.666666666666666,2.5166114784235822
12,1,16,2015,11,1,6,12,0,17.0,12.0,16.0,0.9999999999999982
13,1,15,2015,11,1,6,13,0,16.0,15.0,16.0,0.9999999999999982
14,1,16,2015,11,1,6,14,0,15.0,17.0,15.666666666666666,0.5773502691896228
15,1,12,2015,11,1,6,15,0,16.0,16.0,14.333333333333334,2.081665999466132
16,1,12,2015,11,1,6,16,0,12.0,15.0,13.333333333333334,2.3094010767585025
17,1,16,2015,11,1,6,17,0,12.0,16.0,13.333333333333334,2.3094010767585025
18,1,17,2015,11,1,6,18,0,16.0,12.0,15.0,2.6457513110645903
19,1,20,2015,11,1,6,19,0,17.0,12.0,17.666666666666668,2.0816659994661317
20,1,17,2015,11,1,6,20,0,20.0,16.0,18.0,1.7320508075688754
21,1,19,2015,11,1,6,21,0,17.0,17.0,18.666666666666668,1.5275252316519445
22,1,20,2015,11,1,6,22,0,19.0,20.0,18.666666666666668,1.5275252316519445
23,1,15,2015,11,1,6,23,0,20.0,17.0,18.0,2.645751311064589
24,1,14,2015,11,2,0,0,0,15.0,19.0,16.333333333333332,3.2145502536643167
25,1,12,2015,11,2,0,1,0,14.0,20.0,13.666666666666666,1.5275252316519408
26,1,14,2015,11,2,0,2,0,12.0,15.0,13.333333333333334,1.1547005383792432
27,1,12,2015,11,2,0,3,0,14.0,14.0,12.666666666666666,1.1547005383792432
28,1,12,2015,11,2,0,4,0,12.0,12.0,12.666666666666666,1.1547005383792432
29,1,11,2015,11,2,0,5,0,12.0,14.0,11.666666666666666,0.5773502691896086
30,1,13,2015,11,2,0,6,0,11.0,12.0,12.0,0.99999999999999
31,1,14,2015,11,2,0,7,0,13.0,12.0,12.666666666666666,1.5275252316519403
32,1,12,2015,11,2,0,8,0,14.0,11.0,13.0,0.9999999999999907
33,1,22,2015,11,2,0,9,0,12.0,13.0,16.0,5.29150262212918
34,1,32,2015,11,2,0,10,0,22.0,14.0,22.0,10.0
35,1,31,2015,11,2,0,11,0,32.0,12.0,28.333333333333332,5.507570547286101
36,1,35,2015,11,2,0,12,0,31.0,22.0,32.666666666666664,2.081665999466132
37,1,26,2015,11,2,0,13,0,35.0,32.0,30.666666666666668,4.509249752822894
38,1,34,2015,11,2,0,14,0,26.0,31.0,31.666666666666668,4.932882862316248
39,1,30,2015,11,2,0,15,0,34.0,35.0,30.0,4.000000000000001
40,1,27,2015,11,2,0,16,0,30.0,26.0,30.333333333333332,3.511884584284247
41,1,27,2015,11,2,0,17,0,27.0,34.0,28.0,1.7320508075688779
42,1,24,2015,11,2,0,18,0,27.0,30.0,26.0,1.7320508075688779
43,1,26,2015,11,2,0,19,0,24.0,27.0,25.666666666666668,1.5275252316519472
44,1,29,2015,11,2,0,20,0,26.0,27.0,26.333333333333332,2.516611478423584
45,1,32,2015,11,2,0,21,0,29.0,24.0,29.0,3.0000000000000013
46,1,30,2015,11,2,0,22,0,32.0,26.0,30.333333333333332,1.527525231651949
47,1,27,2015,11,2,0,23,0,30.0,29.0,29.666666666666668,2.5166114784235853
48,1,21,2015,11,3,1,0,0,27.0,32.0,26.0,4.582575694955842
49,1,18,2015,11,3,1,1,0,21.0,30.0,22.0,4.582575694955842
50,1,19,2015,11,3,1,2,0,18.0,27.0,19.333333333333332,1.5275252316519512
51,1,13,2015,11,3,1,3,0,19.0,21.0,16.666666666666668,3.2145502536643207
52,1,11,2015,11,3,1,4,0,13.0,18.0,14.333333333333334,4.163331998932267
53,1,11,2015,11,3,1,5,0,11.0,19.0,11.666666666666666,1.154700538379259
54,1,11,2015,11,3,1,6,0,11.0,13.0,11.0,0.0
55,1,14,2015,11,3,1,7,0,11.0,11.0,12.0,1.732050807568882
56,1,15,2015,11,3,1,8,0,14.0,11.0,13.333333333333334,2.0816659994661366
57,1,29,2015,11,3,1,9,0,15.0,11.0,19.333333333333332,8.386497083606084
58,1,33,2015,11,3,1,10,0,29.0,14.0,25.666666666666668,9.451631252505218
59,1,32,2015,11,3,1,11,0,33.0,15.0,31.333333333333332,2.081665999466136
60,1,32,2015,11,3,1,12,0,32.0,29.0,32.333333333333336,0.5773502691896409
61,1,29,2015,11,3,1,13,0,32.0,33.0,31.0,1.7320508075688827
62,1,27,2015,11,3,1,14,0,29.0,32.0,29.333333333333332,2.5166114784235867
63,1,26,2015,11,3,1,15,0,27.0,32.0,27.333333333333332,1.527525231651951
64,1,28,2015,11,3,1,16,0,26.0,29.0,27.0,1.0000000000000058
65,1,26,2015,11,3,1,17,0,28.0,27.0,26.666666666666668,1.1547005383792568
66,1,25,2015,11,3,1,18,0,26.0,26.0,26.333333333333332,1.52752523165195
67,1,29,2015,11,3,1,19,0,25.0,28.0,26.666666666666668,2.0816659994661344
68,1,26,2015,11,3,1,20,0,29.0,26.0,26.666666666666668,2.0816659994661344
